Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Jackson,SF,33,47,14,1212,159,425,.374,49,170,.288,110,255,.431,.432,94,114,.825,22,141,163,118,54,13,103,99,461
Damion James,SF,24,7,7,170,13,35,.371,0,1,.000,13,34,.382,.371,8,12,.667,7,26,33,3,7,7,12,17,34
LeBron James,SF,27,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683
Mike James,PG,36,11,0,120,20,49,.408,6,10,.600,14,39,.359,.469,7,8,.875,2,8,10,29,4,2,14,20,53
Antawn Jamison,PF,35,65,65,2151,421,1044,.403,91,267,.341,330,777,.425,.447,185,271,.683,123,285,408,131,51,43,90,164,1118
Al Jefferson,C,27,61,61,2075,516,1048,.492,1,4,.250,515,1044,.493,.493,137,177,.774,133,452,585,134,47,101,62,155,1170
Richard Jefferson,SF,31,63,44,1748,203,488,.416,113,269,.420,90,219,.411,.532,59,85,.694,26,193,219,88,37,19,50,121,578
Jared Jeffries,PF,30,39,4,729,59,144,.410,3,16,.188,56,128,.438,.420,49,72,.681,69,83,152,26,29,25,29,89,170
Charles Jenkins,PG,22,51,28,893,130,291,.447,3,20,.150,127,271,.469,.452,34,39,.872,8,60,68,170,33,6,60,85,297
Brandon Jennings,PG,22,66,66,2331,469,1121,.418,129,388,.332,340,733,.464,.476,193,239,.808,49,177,226,365,104,22,146,114,1260
Jonas Jerebko,PF,24,64,13,1468,212,453,.468,32,106,.302,180,347,.519,.503,100,124,.806,96,212,308,43,41,21,66,162,556
Yi Jianlian,PF,24,30,0,203,31,82,.378,3,10,.300,28,72,.389,.396,14,21,.667,12,37,49,5,7,8,14,23,79
Amir Johnson,PF,24,64,43,1553,196,340,.576,2,5,.400,194,335,.579,.579,58,84,.690,149,259,408,79,33,69,94,209,452
Armon Johnson,PG,22,9,0,124,20,43,.465,1,3,.333,19,40,.475,.477,6,6,1.000,1,12,13,11,5,0,6,9,47
Carldell Johnson,PG,29,15,0,119,11,35,.314,4,15,.267,7,20,.350,.371,1,3,.333,1,8,9,22,8,0,7,11,27
Chris Johnson,C,26,27,0,175,20,41,.488,0,0,,20,41,.488,.488,15,19,.789,15,25,40,2,6,9,15,33,55
Ivan Johnson,PF,27,56,0,934,141,275,.513,2,6,.333,139,269,.517,.516,72,100,.720,65,161,226,32,43,18,69,116,356
